Radius,Volume,Ace2.fraction,Ace2.bud8.fraction
3.751757961,221.2040364,0.00002,0.000028
3.783795147,226.9193114,0.000017,0.000043
3.816105907,232.7822525,0.0000059,0
3.848692576,238.7966752,0,0
3.881557511,244.9664932,0.0000031,0.000047
3.914703088,251.2957216,0,0.00019
3.948131703,257.7884789,0.000013,0
3.981845773,264.4489904,0.0000034,0.00013
4.015847736,271.2815904,0,0.000069
4.05014005,278.290725,0,0.00016
4.084725195,285.4809555,0.000018,0.00015
4.11960567,292.8569608,0.000015,0.0002
4.154783999,300.4235408,0,0.00013
4.190262724,308.1856195,0.000012,0.000098
4.226044411,316.1482479,0.000004,0.00008
4.262131646,324.3166077,0.000021,0.00019
4.298527039,332.6960143,0.000017,0.00013
4.335233221,341.2919207,0.000017,0.00024
4.372252847,350.1099206,0.000013,0.00027
4.409588592,359.1557521,0.0000092,0.00021
4.447243156,368.4353019,0.000019,0.00028
4.485219262,377.9546085,0.000014,0.00026
4.523519656,387.7198665,0.0000049,0.00032
4.562147105,397.7374307,0.00003,0.00038
4.601104404,408.0138199,0.000021,0.00062
4.64039437,418.5557214,0.000032,0.00029
4.680019841,429.3699952,0.0000055,0.00049
4.719983685,440.4636787,0.000028,0.0007
4.760288789,451.843991,0.000035,0.00069
4.800938069,463.5183378,0.000047,0.00053
4.841934463,475.4943161,0.0000061,0.00066
4.883280935,487.7797191,0.000025,0.00071
4.924980475,500.3825416,0.000013,0.00045
4.967036098,513.3109846,0.000013,0.00055
5.009450844,526.5734614,0.00002,0.00067
5.05222778,540.1786024,0.000014,0.00076
5.095369999,554.1352611,0.000021,0.00074
5.13888062,568.4525195,0.000022,0.0009
5.182762789,583.1396947,0.000015,0.00096
5.227019678,598.2063442,0.000046,0.00095
5.271654488,613.6622724,0.000047,0.0012
5.316670446,629.5175374,0.000016,0.0014
5.362070806,645.7824566,0.0000082,0.0013
5.40785885,662.4676146,0.000025,0.0014
5.454037891,679.5838689,0.000043,0.0014
5.500611265,697.1423579,0.000053,0.001
5.547582341,715.1545077,0.000027,0.0016
5.594954514,733.6320396,0.000028,0.0014
5.642731211,752.5869776,0,0.0014
5.690915884,772.0316566,0.00002,0.0014
5.739512018,791.9787301,0.00012,0.0026
5.788523126,812.4411785,0.00001,0.0019
5.837952753,833.4323176,0,0.0018
5.887804471,854.9658073,0.000054,0.0027
5.938081885,877.0556602,0.000078,0.0022
5.98878863,899.7162514,0.000011,0.0034
6.039928373,922.9623269,0.000059,0.0028
6.091504811,946.809014,0.000024,0.0026
6.143521673,971.2718308,0.000074,0.0031
6.195982719,996.3666963,0.000013,0.004
6.248891743,1022.109941,0.000052,0.0032
6.302252571,1048.518317,0.000027,0.0028
6.35606906,1075.609009,0.000082,0.0033
6.410345101,1103.399646,0.000056,0.0041
6.465084618,1131.908314,0,0.0037
6.52029157,1161.153563,0,0.0046
6.575969947,1191.154426,0,0.0045
6.632123776,1221.930424,0,0.0041
6.688757116,1253.501585,0.000048,0.0049
6.745874063,1285.888454,0,0.0051
6.803478745,1319.112107,0.000017,0.0045
6.861575327,1353.194163,0.000052,0.0056
6.920168011,1388.156801,0.000018,0.0067
6.979261032,1424.022773,0,0.0055
7.038858663,1460.815418,0.000056,0.0062
7.098965213,1498.558679,0.000038,0.0061
7.159585027,1537.277118,0,0.0078
7.220722489,1576.995929,0.00012,0.0064
7.282382019,1617.74096,0.000021,0.0067
7.344568075,1659.538725,0.000042,0.0071
7.407285153,1702.416424,0.000043,0.0072
7.470537787,1746.401959,0.000022,0.009
7.534330552,1791.523953,0.000046,0.0089
7.598668058,1837.81177,0.00012,0.0082
7.663554958,1885.295531,0.000024,0.0107
7.728995944,1934.006135,0.000049,0.0096
7.794995746,1983.975281,0.000076,0.0107
7.861559137,2035.235486,0.000052,0.0101
7.928690929,2087.820106,0.000053,0.0101
7.996395976,2141.763362,0,0.0114
8.064679173,2197.100356,0.000056,0.0108
8.133545457,2253.867099,0.000057,0.0087
8.202999807,2312.10053,0.000059,0.011
