Oxygen,Radius,Myoglobin,Metabolism
0.012,15,0.1,0.257692772
0.013,15,0.1,0.272504949
0.014,15,0.1,0.286829835
0.015,15,0.1,0.300674015
0.016,15,0.1,0.314040942
0.017,15,0.1,0.326932525
0.018,15,0.1,0.339350346
0.019,15,0.1,0.351296583
0.011,15,0.11,0.244332257
0.012,15,0.11,0.259867037
0.013,15,0.11,0.274911142
0.014,15,0.11,0.289475998
0.015,15,0.11,0.303567531
0.016,15,0.11,0.317188275
0.017,15,0.11,0.330338967
0.018,15,0.11,0.343019781
0.019,15,0.11,0.355231284
0.011,15,0.12,0.246085894
0.012,15,0.12,0.261822726
0.013,15,0.12,0.277076986
0.014,15,0.12,0.291859843
0.015,15,0.12,0.306176747
0.016,15,0.12,0.320029521
0.017,15,0.12,0.333417956
0.018,15,0.12,0.34634105
0.019,15,0.12,0.35879799
0.011,15,0.13,0.247672302
0.012,15,0.13,0.263592754
0.013,15,0.13,0.279038349
0.014,15,0.13,0.294020112
0.015,15,0.13,0.30854316
0.016,15,0.13,0.322608774
0.017,15,0.13,0.336215986
0.018,15,0.13,0.349362816
0.019,15,0.13,0.362047274
0.011,15,0.14,0.249115432
0.012,15,0.14,0.265203527
0.013,15,0.14,0.280824073
0.014,15,0.14,0.295988042
0.015,15,0.14,0.310700331
0.016,15,0.14,0.324961814
0.017,15,0.14,0.338770914
0.018,15,0.14,0.352124847
0.019,15,0.14,0.365020617
0.011,15,0.15,0.250434718
0.012,15,0.15,0.266676509
0.013,15,0.15,0.282457656
0.014,15,0.15,0.297789145
0.015,15,0.15,0.31267574
0.016,15,0.15,0.327118018
0.017,15,0.15,0.341113922
0.018,15,0.15,0.354660002
0.019,15,0.15,0.367752409
0.011,15,0.16,0.251646118
0.012,15,0.16,0.268029352
0.013,15,0.16,0.283958458
0.014,15,0.16,0.299444485
0.015,15,0.16,0.314492132
0.016,15,0.16,0.329101765
0.017,15,0.16,0.343270955
0.018,15,0.16,0.356995703
0.019,15,0.16,0.37027144
0.011,15,0.17,0.252762874
0.012,15,0.17,0.269276729
0.013,15,0.17,0.285342598
0.014,15,0.17,0.30097163
0.015,15,0.17,0.316168514
0.016,15,0.17,0.330933475
0.017,15,0.17,0.345263797
0.018,15,0.17,0.359155037
0.019,15,0.17,0.372602012
0.011,15,0.18,0.25379608
0.012,15,0.18,0.270430947
0.013,15,0.18,0.286623615
0.014,15,0.18,0.302385362
0.015,15,0.18,0.317720908
0.016,15,0.18,0.332630396
0.017,15,0.18,0.347110893
0.018,15,0.18,0.361157593
0.019,15,0.18,0.374764803
0.011,15,0.19,0.254755112
0.012,15,0.19,0.271502418
0.013,15,0.19,0.287812978
0.014,15,0.19,0.30369822
0.015,15,0.19,0.319162929
0.016,15,0.19,0.334207209
0.017,15,0.19,0.348827969
0.018,15,0.19,0.363020117
0.019,15,0.19,0.376777524
0.011,15,0.2,0.255647955
0.012,15,0.2,0.272500015
0.013,15,0.2,0.288920471
0.014,15,0.2,0.304920916
0.015,15,0.2,0.320506224
0.016,15,0.2,0.335676495
0.017,15,0.2,0.350428532
0.018,15,0.2,0.364757011
0.019,15,0.2,0.378655446
0.011,20,0,0.14330274
0.012,20,0,0.15115989
0.013,20,0,0.158703373
0.014,20,0,0.16596322
0.015,20,0,0.172964998
0.016,20,0,0.179730827
0.017,20,0,0.186280057
0.018,20,0,0.192629735
