Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.004,70,0,0.02186158,0
0.005,70,0,0.025389482,0
0.006,70,0,0.028618841,0
0.007,70,0,0.031622485,0
0.008,70,0,0.03444701,0
0.009,70,0,0.0371238,0
0.01,70,0,0.039674991,0
0.02,70,0,0.060659413,0
0.03,70,0,0.076881807,0
0.04,70,0,0.090521731,0
0.05,70,0,0.102461079,0
0.06,70,0,0.113187334,0
0.07,70,0,0.122994964,0
0.08,70,0,0.132068449,0
0.09,70,0,0.140539967,0
0.1,70,0,0.14851093,0
0.11,70,0,0.156056666,0
0.12,70,0,0.163232562,0
0.13,70,0,0.170082353,0
0.14,70,0,0.176643426,0
0.15,70,0,0.182947917,0
0.16,70,0,0.189022246,0
0.17,70,0,0.194887506,0
0.18,70,0,0.200561022,0
0.19,70,0,0.206058045,0
0.2,70,0,0.21139264,0
0.21,70,0,0.216577663,0
0.22,70,0,0.221624378,0
0.23,70,0,0.226542287,0
0.24,70,0,0.231339383,0
0.25,70,0,0.23602268,0
0.001,5,0.01,0.095842591,0.035827073
0.002,5,0.01,0.167433621,0.040763072
0.003,5,0.01,0.22590479,0.044783025
0.004,5,0.01,0.276098522,0.0479865
0.005,5,0.01,0.320453729,0.050439502
0.006,5,0.01,0.360338503,0.052192667
0.007,5,0.01,0.396593181,0.053293238
0.008,5,0.01,0.429779076,0.053792067
0.009,5,0.01,0.460301662,0.053746493
0.01,5,0.01,0.48847463,0.053220198
0.02,5,0.01,0.683349472,0.035236071
0.03,5,0.01,0.791779196,0.017472944
0.04,5,0.01,0.857288853,0.006852444
0.05,5,0.01,0.896536352,0.00221878
0.06,5,0.01,0.920062064,0.000749118
0.07,5,0.01,0.934917634,0.00029624
0.08,5,0.01,0.944960695,0.000136058
0.09,5,0.01,0.9521624,7.02619E-05
0.1,5,0.01,0.957570115,3.96843E-05
0.11,5,0.01,0.961778313,2.40259E-05
0.12,5,0.01,0.965146314,1.53658E-05
0.13,5,0.01,0.967903278,1.02739E-05
0.14,5,0.01,0.970202017,7.12331E-06
0.15,5,0.01,0.972148287,5.09184E-06
0.16,5,0.01,0.973817591,3.73583E-06
0.17,5,0.01,0.975265274,2.80232E-06
0.18,5,0.01,0.976532834,2.14228E-06
0.19,5,0.01,0.977652,1.66522E-06
0.2,5,0.01,0.97864745,1.31406E-06
0.21,5,0.01,0.979538668,1.05152E-06
0.22,5,0.01,0.980341244,8.50725E-07
0.23,5,0.01,0.981067803,6.96181E-07
0.24,5,0.01,0.981728675,5.74497E-07
0.25,5,0.01,0.982332399,4.77435E-07
0.001,10,0.01,0.052114027,0.036600261
0.002,10,0.01,0.091099877,0.042278524
0.003,10,0.01,0.123157695,0.047238536
0.004,10,0.01,0.150989668,0.051589379
0.005,10,0.01,0.175954642,0.05540087
0.006,10,0.01,0.198806743,0.058716779
0.007,10,0.01,0.219996888,0.061564423
0.008,10,0.01,0.239812052,0.063961909
0.009,10,0.01,0.258445762,0.065923547
0.01,10,0.01,0.276036282,0.067463846
0.02,10,0.01,0.411161319,0.065235142
0.03,10,0.01,0.502238424,0.050899989
0.04,10,0.01,0.571588439,0.038562721
0.05,10,0.01,0.628177263,0.029675
0.06,10,0.01,0.676028275,0.023375046
0.07,10,0.01,0.717284057,0.018773195
0.08,10,0.01,0.753272275,0.015295024
0.09,10,0.01,0.784897411,0.012584552
0.1,10,0.01,0.812814081,0.010408711
0.11,10,0.01,0.837516311,0.008625383
0.12,10,0.01,0.859385011,0.007135369
0.13,10,0.01,0.878719632,0.00586872
0.14,10,0.01,0.89575817,0.004777828
0.15,10,0.01,0.910689516,0.00382471
0.16,10,0.01,0.923662251,0.002980122
0.17,10,0.01,0.934789298,0.002220768
0.18,10,0.01,0.944151254,0.001534078
0.19,10,0.01,0.951809268,0.000942612
0.2,10,0.01,0.957858229,0.000513261
0.21,10,0.01,0.962510812,0.000267619
0.22,10,0.01,0.966081995,0.000145218
0.23,10,0.01,0.968873763,8.45083E-05
0.24,10,0.01,0.971111667,5.26136E-05
0.25,10,0.01,0.97294908,3.46628E-05
0.001,15,0.01,0.035640432,0.035398672
0.002,15,0.01,0.062258732,0.041022802
0.003,15,0.01,0.084145832,0.045990795
0.004,15,0.01,0.103173739,0.050411084
0.005,15,0.01,0.120284834,0.05435507
0.006,15,0.01,0.136002271,0.057868567
0.007,15,0.01,0.150638231,0.060979925
0.008,15,0.01,0.164390113,0.063706241
0.009,15,0.01,0.177389284,0.066058155
0.01,15,0.01,0.189727604,0.068043644
0.02,15,0.01,0.287041453,0.070939971
0.03,15,0.01,0.355116308,0.058864099
0.04,15,0.01,0.408363699,0.046776181
0.05,15,0.01,0.453021942,0.037562976
0.06,15,0.01,0.49193879,0.030826747
0.07,15,0.01,0.526606042,0.025878178
0.08,15,0.01,0.557917342,0.022123085
0.09,15,0.01,0.586476573,0.019188961
0.1,15,0.01,0.612719461,0.016852309
0.11,15,0.01,0.636972136,0.014946702
0.12,15,0.01,0.6594897,0.013355757
0.13,15,0.01,0.68047783,0.012011202
0.14,15,0.01,0.700103346,0.010865
0.15,15,0.01,0.718502964,0.009873628
0.16,15,0.01,0.735791663,0.009003972
0.17,15,0.01,0.752067783,0.008236438
0.18,15,0.01,0.767415274,0.007556793
0.19,15,0.01,0.781905871,0.006949839
0.2,15,0.01,0.795601955,0.006401947
0.21,15,0.01,0.808558685,0.005904729
0.22,15,0.01,0.820824783,0.005453102
0.23,15,0.01,0.832442998,0.00504132
0.24,15,0.01,0.843451125,0.004662788
0.25,15,0.01,0.853883146,0.004312655
0.001,20,0.01,0.027062118,0.034527422
0.002,20,0.01,0.047249263,0.040071235
0.003,20,0.01,0.063841261,0.0449904
0.004,20,0.01,0.078269729,0.049391729
0.005,20,0.01,0.091255812,0.053346678
0.006,20,0.01,0.103200052,0.056901835
0.007,20,0.01,0.114341429,0.06008642
0.008,20,0.01,0.124830793,0.062917885
0.009,20,0.01,0.134768095,0.065406344
0.01,20,0.01,0.144222659,0.067558105
0.02,20,0.01,0.21970056,0.072813828
0.03,20,0.01,0.273383876,0.062065917
0.04,20,0.01,0.315806228,0.050214075
0.05,20,0.01,0.351724663,0.040899249
0.06,20,0.01,0.383336074,0.033950961
0.07,20,0.01,0.411791669,0.028799625
0.08,20,0.01,0.437769077,0.024894702
0.09,20,0.01,0.461718056,0.021832127
0.1,20,0.01,0.483964434,0.019379689
0.11,20,0.01,0.504752276,0.017387613
0.12,20,0.01,0.524269337,0.015734119
0.13,20,0.01,0.542666359,0.014331052
0.14,20,0.01,0.560067938,0.013127432
0.15,20,0.01,0.576577164,0.012090614
0.16,20,0.01,0.592279252,0.011189481
0.17,20,0.01,0.60724605,0.010394637
0.18,20,0.01,0.62153986,0.00968552
0.19,20,0.01,0.635215256,0.009051039
0.2,20,0.01,0.648319645,0.008483422
0.21,20,0.01,0.66089399,0.007973197
0.22,20,0.01,0.672974173,0.007509811
0.23,20,0.01,0.684592378,0.007085141
0.24,20,0.01,0.695777801,0.006695002
0.25,20,0.01,0.706556733,0.006337302
0.001,25,0.01,0.021807751,0.03392942
0.002,25,0.01,0.038061777,0.039409987
0.003,25,0.01,0.051416134,0.044284973
0.004,25,0.01,0.063029638,0.048659773
0.005,25,0.01,0.07348625,0.052605608
0.006,25,0.01,0.083110443,0.056169397
0.007,25,0.01,0.09209583,0.059380884
0.008,25,0.01,0.100564551,0.062257908
0.009,25,0.01,0.108597369,0.064810538
0.01,25,0.01,0.116250078,0.067044524
